Source,Country,Competition,CompetitionType,Tier,League,Season,Date,HomeRaw,AwayRaw,HomeGoals,AwayGoals,Score,Result,SourceURL,SourceLine,SourceText
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-22,Shinnik,Lokomotiv,1,2,1-2,0-1,https://www.rsssf.org/tablesr/rus08.html,64,Shinnik   1-2 Lokomotiv
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-22,Saturn,Terek,3,1,3-1,1-0,https://www.rsssf.org/tablesr/rus08.html,66,Saturn    3-1 Terek
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-23,Spartak N,Amkar,0,1,0-1,0-1,https://www.rsssf.org/tablesr/rus08.html,69,Spartak N 0-1 Amkar
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-23,Rubin,Luch-Ener,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus08.html,71,Rubin     1-0 Luch-Ener
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-23,Moskva,Zenit,0,2,0-2,0-1,https://www.rsssf.org/tablesr/rus08.html,73,Moskva    0-2 Zenit
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-23,Dinamo,Khimki,2,0,2-0,1-0,https://www.rsssf.org/tablesr/rus08.html,75,Dinamo    2-0 Khimki
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-29,Khimki,Spartak M,3,3,3-3,0.5-0.5,https://www.rsssf.org/tablesr/rus08.html,80,Khimki    3-3 Spartak M
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-29,Luch-Ener,Shinnik,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus08.html,83,Luch-Ener 1-0 Shinnik
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-29,Terek,Spartak N,2,1,2-1,1-0,https://www.rsssf.org/tablesr/rus08.html,85,Terek     2-1 Spartak N
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-29,Tom,Moskva,2,1,2-1,1-0,https://www.rsssf.org/tablesr/rus08.html,87,Tom       2-1 Moskva
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-30,Amkar,Dinamo,1,2,1-2,0-1,https://www.rsssf.org/tablesr/rus08.html,90,Amkar     1-2 Dinamo
