PlayerID,PlayerName,Nationality,GamesUsed,FramesUsed,FramesWon,FrameRate,BaselineStart,RetroStart,RetroAdjustment
2807,Vladislav Gradinari,Moldova,41,225,108,0.48,2600,2636.91722126518,36.9172212651815
2507,Robbie McGuigan,Northern Ireland,47,203,98,0.482758620689655,2600,2636.74252461104,36.7425246110415
2345,Alex Millington,England,40,201,103,0.512437810945274,2600,2636.73115754513,36.7311575451263
81,Zhang Anda,China,21,200,97,0.485,2600,2636.30090425438,36.3009042543795
414,Colm Gilcreest,Ireland,18,202,106,0.524752475247525,2600,2636.09957231445,36.0995723144515
2751,Jamie Wilson,England,42,203,80,0.394088669950739,2600,2635.91459242774,35.9145924277391
67,David Grace,England,34,202,99,0.49009900990099,2600,2635.57036894998,35.5703689499792
194,Joe Delaney,Ireland,14,202,107,0.52970297029703,2600,2635.47991107009,35.4799110700878
667,Dene O'Kane,New Zealand,22,211,100,0.4739336492891,2600,2635.37223544571,35.3722354457141
92,Robert Milkins,England,15,214,112,0.523364485981308,2600,2634.99768407562,34.9976840756235
4156,Arsenii Korolev,Bulgaria,46,202,102,0.504950495049505,2600,2634.51370190964,34.5137019096383
306,Mei Xiwen,China,28,201,96,0.477611940298507,2600,2634.45561448144,34.4556144814401
510,Lyu Chenwei,China,34,204,86,0.42156862745098,2600,2634.05708182124,34.0570818212359
29,Matthew Couch,England,17,213,109,0.511737089201878,2600,2633.41811665594,33.4181166559401
523,Sydney Wilson,England,36,204,106,0.519607843137255,2600,2633.22169529084,33.2216952908416
47,Matthew Selt,England,21,208,104,0.5,2600,2633.16114797825,33.1611479782459
2595,Mark Lloyd,England,42,205,92,0.448780487804878,2600,2633.02797614513,33.0279761451307
216,Thanawat Tirapongpaiboon,Thailand,30,200,93,0.465,2600,2632.97883908202,32.9788390820245
840,Daan Leyssen,Spain,42,202,101,0.5,2600,2632.77882306041,32.778823060406
391,Kevin Van Hove,Belgium,39,202,102,0.504950495049505,2600,2632.65703460529,32.6570346052945
507,Cao Yupeng,China,33,202,87,0.430693069306931,2600,2632.13424840543,32.1342484054335
762,Josh Boileau,Ireland,39,203,103,0.507389162561576,2600,2631.82506426794,31.82506426794
800,Wayne Jones,Wales,22,204,100,0.490196078431373,2600,2631.78363952506,31.7836395250565
154,Neil Robertson,Australia,14,205,107,0.521951219512195,2600,2631.4761148925,31.4761148924986
190,David Morris,Ireland,17,209,104,0.497607655502392,2600,2631.22935466077,31.2293546607707
2505,David Finbow,England,19,214,104,0.485981308411215,2600,2631.06163983231,31.0616398323118
2782,Alfie Lee,England,44,202,99,0.49009900990099,2600,2630.82978637307,30.8297863730736
522,Saqib Nasir,England,37,205,109,0.531707317073171,2600,2630.80421102437,30.8042110243723
77,Gareth Green,England,35,201,101,0.502487562189055,2600,2630.74872574932,30.7487257493194
2274,Brian Ochoiski,France,39,205,99,0.482926829268293,2600,2630.71763939887,30.7176393988739
3256,Leigh Griffin,England,16,213,105,0.492957746478873,2600,2630.71169486912,30.7116948691155
1018,Aaron Busuttil,Malta,40,203,100,0.492610837438424,2600,2630.65656858972,30.656568589724
947,Zhang Yong,China,35,201,85,0.422885572139304,2600,2630.6352677009,30.6352677008972
2134,Zhang Jiankang,China,34,207,74,0.357487922705314,2600,2630.2520381743,30.2520381742997
723,Nico Elton,England,38,203,97,0.477832512315271,2600,2629.82969062635,29.8296906263458
1762,Hamza Akbar,Pakistan,27,200,66,0.33,2600,2629.72886017416,29.7288601741611
802,Tony Chappel,Wales,27,206,91,0.441747572815534,2600,2629.30848646047,29.3084864604698
32,Daniel Wells,Wales,19,203,101,0.497536945812808,2600,2629.1957811392,29.1957811392003
76,Sam Baird,England,27,213,106,0.497652582159624,2600,2628.96809627591,28.9680962759121
226,Habib Subah Humood,Bahrain,38,200,99,0.495,2600,2628.84536470852,28.8453647085216
